"year";"month";"top_of_month";"employee_id";"employee_name";"order_count";"revenue";"avg_revenue";"employees_abc_class"
1996.0;7.0;1;9;Dodsworth Anne;2;4955;2478;A
1996.0;7.0;2;1;Davolio Nancy;1;2019;2019;B
1996.0;7.0;3;4;Peacock Margaret;7;12989;1856;A
1996.0;7.0;4;6;Suyama Michael;2;2588;1294;A
1996.0;7.0;5;2;Fuller Andrew;1;1176;1176;C
1996.0;7.0;6;8;Callahan Laura;2;1726;863;C
1996.0;7.0;7;3;Leverling Janet;4;2998;750;A
1996.0;7.0;8;5;Buchanan Steven;3;1741;580;B
1996.0;8.0;1;3;Leverling Janet;2;3557;1779;B
1996.0;8.0;2;8;Callahan Laura;6;8486;1414;A
1996.0;8.0;3;1;Davolio Nancy;5;6007;1201;A
1996.0;8.0;4;2;Fuller Andrew;2;1814;907;C
1996.0;8.0;5;4;Peacock Margaret;5;3671;734;A
1996.0;8.0;6;6;Suyama Michael;4;2595;649;B
1996.0;8.0;7;7;King Robert;1;479;479;C
1996.0;9.0;1;3;Leverling Janet;1;1762;1762;B
1996.0;9.0;2;8;Callahan Laura;3;5248;1749;A
1996.0;9.0;3;6;Suyama Michael;3;4466;1489;A
1996.0;9.0;4;5;Buchanan Steven;1;1420;1420;C
1996.0;9.0;5;1;Davolio Nancy;5;6884;1377;A
1996.0;9.0;6;4;Peacock Margaret;3;3575;1192;A
1996.0;9.0;7;7;King Robert;2;1331;665;C
1996.0;9.0;8;2;Fuller Andrew;5;2951;590;B
1996.0;10.0;1;9;Dodsworth Anne;2;6244;3122;A
1996.0;10.0;2;2;Fuller Andrew;2;5726;2863;A
1996.0;10.0;3;1;Davolio Nancy;2;4061;2031;C
1996.0;10.0;4;4;Peacock Margaret;8;14422;1803;A
1996.0;10.0;5;3;Leverling Janet;3;4318;1439;B
1996.0;10.0;6;7;King Robert;5;4577;915;A
1996.0;10.0;7;5;Buchanan Steven;2;1470;735;C
1996.0;10.0;8;8;Callahan Laura;2;385;193;C
1996.0;11.0;1;7;King Robert;3;11717;3906;A
1996.0;11.0;2;1;Davolio Nancy;4;10261;2565;A
1996.0;11.0;3;4;Peacock Margaret;5;12017;2403;A
1996.0;11.0;4;2;Fuller Andrew;2;4759;2380;A
1996.0;11.0;5;5;Buchanan Steven;2;4106;2053;B
1996.0;11.0;6;3;Leverling Janet;4;3838;960;B
1996.0;11.0;7;6;Suyama Michael;3;2300;767;C
1996.0;11.0;8;8;Callahan Laura;2;705;352;C
1996.0;12.0;1;5;Buchanan Steven;3;13228;4409;A
1996.0;12.0;2;4;Peacock Margaret;3;6441;2147;A
